rating_22,mark_val_eu,mv_log
5.04,90000,13.71015
3.75,20000,12.206073
5.53,150000,14.220976
4.7,40000,12.89922
5.14,85000,13.652991
4.71,30000,12.611538
4.42,20000,12.206073
4.91,30000,12.611538
4.83,40000,12.89922
5.12,50000,13.122363
4.75,40000,12.89922
3.8,60000,13.304685
5.06,40000,12.89922
4.63,30000,12.611538
4.33,10000,11.512925
4.33,40000,12.89922
4.65,80000,13.592367
4.79,65000,13.384727
4.58,40000,12.89922
4.89,45000,13.017003
3.8,50000,13.122363
4.33,30000,12.611538
5,80000,13.592367
4.14,20000,12.206073
4.6,30000,12.611538
4.25,15000,11.91839
3.25,20000,12.206073
5.25,110000,13.910821
4.57,40000,12.89922
6,400000,15.201805
4.44,50000,13.122363
4.56,30000,12.611538
4.56,40000,12.89922
3.86,50000,13.122363
5.09,35000,12.765689
4.91,45000,13.017003
4.87,150000,14.220976
4.56,15000,11.91839
4.81,80000,13.592367
4.85,120000,13.997832
4.08,15000,11.91839
